samples,G,Eads,M,ZTM,Eg,plz,Ra,Rc,Uo,Ip1,NTM,N
Fe1,-2.036917847,-2.205960169,55.845,26,1.83,58,1.25,1.32,4,762.5,1,1
Fe1,-1.021334285,-2.612425015,55.845,26,1.83,58,1.25,1.32,4,762.5,1,2
Fe1,-1.732093452,-3.822646587,55.845,26,1.83,58,1.25,1.32,4,762.5,1,3
Fe1,-2.179570934,-2.950472237,55.845,26,1.83,58,1.25,1.32,4,762.5,1,4
Fe1,-3.677040197,-2.683166491,55.845,26,1.83,58,1.25,1.32,4,762.5,1,5
Fe1,-4.617698778,-1.26645121,55.845,26,1.83,58,1.25,1.32,4,762.5,1,6
Fe2,-2.741686887,-2.795789034,55.845,26,1.83,58,1.25,1.32,4,762.5,2,1
Fe2,-2.046668311,-3.627919088,55.845,26,1.83,58,1.25,1.32,4,762.5,2,2
Fe2,-3.457822341,-5.496425244,55.845,26,1.83,58,1.25,1.32,4,762.5,2,3
Fe2,-4.091320739,-4.843993833,55.845,26,1.83,58,1.25,1.32,4,762.5,2,4
Fe2,-5.081517806,-4.100330761,55.845,26,1.83,58,1.25,1.32,4,762.5,2,5
Fe2,-4.992941397,-1.589812439,55.845,26,1.83,58,1.25,1.32,4,762.5,2,6
Fe3,-2.558234545,-2.733284448,55.845,26,1.83,58,1.25,1.32,4,762.5,3,1
Fe3,-2.697928151,-4.305474784,55.845,26,1.83,58,1.25,1.32,4,762.5,3,2
Fe3,-4.110103501,-6.11285053,55.845,26,1.83,58,1.25,1.32,4,762.5,3,3
Fe3,-5.039372113,-5.892092605,55.845,26,1.83,58,1.25,1.32,4,762.5,3,4
Fe3,-5.106499626,-4.030424674,55.845,26,1.83,58,1.25,1.32,4,762.5,3,5
Fe3,-4.678516502,-1.234994831,55.845,26,1.83,58,1.25,1.32,4,762.5,3,6
Fe4,-2.87246719,-3.010824401,55.845,26,1.83,58,1.25,1.32,4,762.5,4,1
Fe4,-2.978716886,-4.618909295,55.845,26,1.83,58,1.25,1.32,4,762.5,4,2
Fe4,-4.432496791,-6.494814231,55.845,26,1.83,58,1.25,1.32,4,762.5,4,3
Fe4,-5.378665276,-6.247949689,55.845,26,1.83,58,1.25,1.32,4,762.5,4,4
Fe4,-5.32250511,-4.221881364,55.845,26,1.83,58,1.25,1.32,4,762.5,4,5
Fe4,-4.954777132,-1.516921262,55.845,26,1.83,58,1.25,1.32,4,762.5,4,6
Co1,-2.169475237,-2.276062178,58.933195,27,1.88,53,1.26,1.26,3,760.4,1,1
Co1,-0.602450269,-2.130456698,58.933195,27,1.88,53,1.26,1.26,3,760.4,1,2
Co1,-0.590639483,-2.537561011,58.933195,27,1.88,53,1.26,1.26,3,760.4,1,3
Co1,-1.950013504,-2.67788748,58.933195,27,1.88,53,1.26,1.26,3,760.4,1,4
Co1,-3.324343522,-2.320087502,58.933195,27,1.88,53,1.26,1.26,3,760.4,1,5
Co1,-4.534721587,-1.140639302,58.933195,27,1.88,53,1.26,1.26,3,760.4,1,6
Co2,-3.230602519,-3.328416814,58.933195,27,1.88,53,1.26,1.26,3,760.4,2,1
Co2,-2.479209011,-3.97128886,58.933195,27,1.88,53,1.26,1.26,3,760.4,2,2
Co2,-3.358425136,-5.31665313,58.933195,27,1.88,53,1.26,1.26,3,760.4,2,3
Co2,-4.230551967,-4.909665826,58.933195,27,1.88,53,1.26,1.26,3,760.4,2,4
Co2,-5.331024979,-4.382676247,58.933195,27,1.88,53,1.26,1.26,3,760.4,2,5
Co2,-5.563106283,-2.117999319,58.933195,27,1.88,53,1.26,1.26,3,760.4,2,6
Co3,-2.928210158,-3.040076656,58.933195,27,1.88,53,1.26,1.26,3,760.4,3,1
Co3,-2.891576089,-4.50532347,58.933195,27,1.88,53,1.26,1.26,3,760.4,3,2
Co3,-4.025553231,-6.078183207,58.933195,27,1.88,53,1.26,1.26,3,760.4,3,3
Co3,-5.127408143,-5.997694607,58.933195,27,1.88,53,1.26,1.26,3,760.4,3,4
Co3,-5.363422128,-4.532665484,58.933195,27,1.88,53,1.26,1.26,3,760.4,3,5
Co3,-4.973220603,-1.474811621,58.933195,27,1.88,53,1.26,1.26,3,760.4,3,6
Co4,-2.981647947,-3.089506164,58.933195,27,1.88,53,1.26,1.26,3,760.4,4,1
Co4,-2.948380594,-4.450497941,58.933195,27,1.88,53,1.26,1.26,3,760.4,4,2
Co4,-4.162682312,-6.14932197,58.933195,27,1.88,53,1.26,1.26,3,760.4,4,3
Co4,-5.155679577,-5.966997426,58.933195,27,1.88,53,1.26,1.26,3,760.4,4,4
Co4,-5.097249776,-4.137980454,58.933195,27,1.88,53,1.26,1.26,3,760.4,4,5
Co4,-5.107567814,-1.605110688,58.933195,27,1.88,53,1.26,1.26,3,760.4,4,6
Ni1,-1.2001627,-1.287540045,58.6934,28,1.91,48,1.21,1.24,2,737.1,1,1
Ni1,-0.010478312,-1.49010987,58.6934,28,1.91,48,1.21,1.24,2,737.1,1,2
Ni1,0.25244764,-1.722770061,58.6934,28,1.91,48,1.21,1.24,2,737.1,1,3
Ni1,-1.506859292,-2.183382871,58.6934,28,1.91,48,1.21,1.24,2,737.1,1,4
Ni1,-2.990094456,-1.990190094,58.6934,28,1.91,48,1.21,1.24,2,737.1,1,5
Ni1,-4.322650518,-0.978282484,58.6934,28,1.91,48,1.21,1.24,2,737.1,1,6
Ni2,-2.829977032,-2.821618095,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,1
Ni2,-1.998923166,-3.533343146,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,2
Ni2,-2.618600822,-4.508828298,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,3
Ni2,-3.845585879,-4.52716606,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,4
Ni2,-5.219868558,-4.231171336,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,5
Ni2,-5.572728631,-2.162277709,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,6
Ni3,-3.334556203,-3.412755827,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,1
Ni3,-3.087142019,-4.6664204,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,2
Ni3,-4.106168785,-6.115778477,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,3
Ni3,-5.329683165,-6.163738569,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,4
Ni3,-5.901197054,-4.912142063,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,5
Ni3,-4.849635333,-1.402274192,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,6
Ni4,-3.33870233,-3.308574261,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,1
Ni4,-3.074903309,-4.563166742,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,2
Ni4,-4.138489736,-6.099258436,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,3
Ni4,-5.313762359,-6.068890513,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,4
Ni4,-5.412453277,-4.363573845,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,5
Ni4,-4.934615445,-1.448128122,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,6
